Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
,,,,,,,,,,,,,
Sarkar 3,"
Action, Crime, Drama            ",4.9,NA,Ram Gopal Varma,Amitabh Bachchan,Manoj Bajpayee,Abhishek Bachchan,Yami Gautam,,,,,
,,,,,,,,,,,,,
Naam Shabana,"
Action, Thriller            ",6.3,NA,Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee,Taher Shabbir,,,,,
,,,,,,,,,,,,,
Jagga Jasoos,"
Action, Adventure, Comedy            ",6.4,$0.49M,Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee,Chitrak Bandyopadhyay,,,,,
,,,,,,,,,,,,,
Sachin,"
Documentary, Sport            ",8.6,NA,James Erskine,Sachin Tendulkar,Mayur More,Mayuresh Pem,Akshay Bhagat,,,,,
,,,,,,,,,,,,,
Half Girlfriend,"
Drama, Romance            ",4.3,NA,Mohit Suri,Shraddha Kapoor,Dalip Sondhi,Arjun Kapoor,Vikrant Massey,,,,,
,,,,,,,,,,,,,
Toilet - Ek Prem Katha,"
Comedy, Drama            ",7.2,$1.83M,Shree Narayan Singh,Akshay Kumar,Bhumi Pednekar,Sudhir Pandey,Divyendu Sharma,,,,,
,,,,,,,,,,,,,
Tubelight,"
Drama, War            ",4,$0.93M,Kabir Khan,Salman Khan,Sohail Khan,Om Puri,Mohammed Zeeshan Ayyub,,,,,
,,,,,,,,,,,,,
Jab Harry Met Sejal,"
Comedy, Drama, Romance            ",5.3,$1.28M,Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Björn Freiberg,Martavious Gayles,,,,,
,,,,,,,,,,,,,
2,"
Action, Sci-Fi            ",6.4,$5.57M,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,Adil Hussain,,,,,
,,,,,,,,,,,,,
Padmaavat,"
Drama, History, Romance            ",7,$11.85M,Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor,Aditi Rao Hydari,,,,,
,,,,,,,,,,,,,
Hera Pheri 3,"
Comedy            ",NA,NA,Ahmed Khan,Indra Kumar,Akshay Kumar,Sunil Shetty,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Chauranga,"
Drama            ",6.6,NA,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,Soham Maitra,,,,,
,,,,,,,,,,,,,
Wazir,"
Action, Crime, Drama            ",7.1,$0.59M,Bejoy Nambiar,Amitabh Bachchan,Farhan Akhtar,Aditi Rao Hydari,John Abraham,,,,,
,,,,,,,,,,,,,
Chalk N Duster,"
Drama            ",6.6,NA,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,Gavie Chahal,,,,,
,,,,,,,,,,,,,
Rebellious Flower,"
Biography, Drama            ",6.8,NA,Krishan Hooda,Prince Shah,Shashank Singh,Mantra,Shaneel Sinha,,,,,
,,,,,,,,,,,,,
Airlift,"
Drama, History            ",8,NA,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,,,,,
,,,,,,,,,,,,,
Jugni,"
Drama            ",6.2,NA,Shefali Bhushan,Sadhana Singh,Anurita Jha,Sugandha Garg,Divya Unny,,,,,
,,,,,,,,,,,,,
Kyaa Kool Hain Hum 3,"
Comedy            ",1.9,NA,Umesh Ghadge,Tusshar Kapoor,Aftab Shivdasani,Krishna Abhishek,Mandana Karimi,,,,,
,,,,,,,,,,,,,
Saala Khadoos,"
Action, Drama, Sport            ",7.6,$0.08M,Sudha Kongara,Madhavan,Nassar,Radha Ravi,Kaali Venkat,,,,,
,,,,,,,,,,,,,
Mastizaade,"
Comedy            ",2.3,$0.04M,Milap Zaveri,Tusshar Kapoor,Vir Das,Sunny Leone,Asrani,,,,,
,,,,,,,,,,,,,
BHK Bhalla@Halla.Kom,"
Comedy            ",5.7,NA,Rakesh Chaturvedi Om,Rasika Agashe,Inshika Bedi,Sukhwinder Chahal,Nirmala J. Chandra,,,,,
,,,,,,,,,,,,,
Ghayal Once Again,"
Action, Drama            ",6.4,NA,Sunny Deol,Sunny Deol,Soha Ali Khan,Om Puri,Aanchal Munjal,,,,,
,,,,,,,,,,,,,
Sanam Teri Kasam,"
Drama, Musical, Romance            ",7.3,$0.02M,Radhika Rao,Vinay Sapru,Harshvardhan Rane,Mawra Hocane,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Fitoor,"
Drama, Romance            ",5.4,$0.51M,Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu,Rahul Bhat,,,,,
,,,,,,,,,,,,,
Luckhnowi Ishq,"
Drama            ",6.9,NA,Aanand Raut,Adhyayan Suman,Karishma Kotak,Mukesh Khanna,Hemant Pandey,,,,,
,,,,,,,,,,,,,
Sanam Re,"
Drama, Romance            ",3.1,NA,Divya Khosla Kumar,Rishi Kapoor,Pulkit Samrat,Yami Gautam,Urvashi Rautela,,,,,
,,,,,,,,,,,,,
Direct Ishq,"
Action, Comedy, Romance            ",4,NA,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani,Rajesh Shringarpure,,,,,
,,,,,,,,,,,,,
Ishq Forever,"
Romance            ",3.8,NA,Sameer Sippy,Krishna Chaturvedi,Ruhi Singh,Javed Jaffrey,Lisa Ray,,,,,
,,,,,,,,,,,,,
LoveShhuda,"
Comedy, Romance            ",4.4,NA,Vaibhav Misra,Girish Taurani,Navneet Kaur Dhillon,Tisca Chopra,Naveen Kasturia,,,,,
,,,,,,,,,,,,,
Neerja,"
Biography, Drama, Thriller            ",7.7,$1.54M,Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku,Abrar Zahoor,,,,,
,,,,,,,,,,,,,
Dhara 302,"
Drama            ",4.7,NA,Jitendra Singh Naruka,Dipti Dhotre,Dipti,Pradeep Kabra,Rufy Khan,,,,,
,,,,,,,,,,,,,
Aligarh,"
Biography, Drama            ",7.8,NA,Hansal Mehta,Sukhesh Arora,Manoj Bajpayee,Balaji Gauri,Sumit Gulati,,,,,
,,,,,,,,,,,,,
Bollywood Diaries,"
Drama            ",6,NA,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi,Karuna Pandey,,,,,
,,,,,,,,,,,,,
Love Shagun,"
Comedy, Romance            ",5.8,NA,Saandesh Nayak,Anuj Sachdeva,Nidhi Subbaiah,Manit Joura,Simpy Singh,,,,,
,,,,,,,,,,,,,
Tere Bin Laden: Dead Or Alive,"
Comedy            ",4.3,NA,Abhishek Sharma,Manish Paul,Pradhuman Singh,Sikander Kher,Parthaa Akerkar,,,,,
,,,,,,,,,,,,,
Zubaan,"
Drama            ",6.1,NA,Mozez Singh,Vicky Kaushal,Sarah-Jane Dias,Raaghav Chanana,Manish Chaudhary,,,,,
,,,,,,,,,,,,,
Jai Gangaajal,"
Crime, Drama            ",5.7,NA,Prakash Jha,Priyanka Chopra,Prakash Jha,Manav Kaul,Ninad Kamat,,,,,
,,,,,,,,,,,,,
Global Baba,"
Thriller            ",5.6,NA,Manoj Tiwari,Pankaj Tripathi,Sandeepa Dhar,Ravi Kishan,Abhimanyu Singh,,,,,
,,,,,,,,,,,,,
Teraa Surroor,"
Action, Drama, Romance            ",2.7,NA,Shawn Arranha,Himesh Reshammiya,Farah Karimaee,Naseeruddin Shah,Shekhar Kapur,,,,,
,,,,,,,,,,,,,
Kapoor & Sons,"
Comedy, Drama, Romance            ",7.7,$2.61M,Shakun Batra,Sidharth Malhotra,Fawad Khan,Alia Bhatt,Rajat Kapoor,,,,,
,,,,,,,,,,,,,
Rocky Handsome,"
Action, Thriller            ",6.8,NA,Nishikant Kamat,John Abraham,Nishikant Kamat,Sharad Kelkar,Teddy Maurya,,,,,
,,,,,,,,,,,,,
Ki & Ka,"
Comedy, Romance            ",5.8,$0.80M,R. Balki,Amitabh Bachchan,Kareena Kapoor,Arjun Kapoor,Rajit Kapoor,,,,,
,,,,,,,,,,,,,
The Blueberry Hunt,"
Action, Thriller            ",5.7,NA,Anup Kurian,Kartik Elangovan,Vinay Forrt,Aahana Kumra,P.T. Manoj,,,,,
,,,,,,,,,,,,,
Fan,"
Action, Drama, Thriller            ",7.1,$1.36M,Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Carolina Main,Shriya Pilgaonkar,,,,,
,,,,,,,,,,,,,
Nil Battey Sannata,"
Drama, Family            ",8.4,NA,Ashwiny Iyer Tiwari,Swara Bhaskar,Ratna Pathak Shah,Riya Shukla,Pankaj Tripathi,,,,,
,,,,,,,,,,,,,
Laal Rang,"
Action, Crime, Drama            ",8,NA,Syed Ahmad Afzal,Randeep Hooda,Akshay Oberoi,Rajniesh Duggall,Piaa Bajpai,,,,,
,,,,,,,,,,,,,
Baaghi,"
Action, Thriller            ",5.2,$0.44M,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani,Paras Arora,,,,,
,,,,,,,,,,,,,
Shortcut Safari,"
Adventure, Drama, Mystery            ",6.1,NA,Amitabha Singh,Jimmy Sheirgill,Manmeet Singh,,,,,,,
,,,,,,,,,,,,,
One Night Stand,"
Drama, Romance            ",3.1,NA,Jasmine D'Souza,Tanuj Virwani,Sunny Leone,Narendra Jetley,Aamir Ahmed,,,,,
,,,,,,,,,,,,,
Traffic,"
Adventure, Drama, Thriller            ",6.7,NA,Rajesh Pillai,Manoj Bajpayee,Divya Dutta,Jimmy Sheirgill,Prasenjit Chatterjee,,,,,
,,,,,,,,,,,,,
1920 London,"
Horror, Mystery            ",4.1,NA,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,Surendra Pal,,,,,
,,,,,,,,,,,,,
Azhar,"
Biography, Drama, Sport            ",5.8,NA,Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai,Lara Dutta,,,,,
,,,,,,,,,,,,,
Buddha in a Traffic Jam,"
Crime, Thriller            ",6.8,NA,Vivek Agnihotri,Aanchal Dwivedi,Mahie Gill,Pallavi Joshi,Anupam Kher,,,,,
,,,,,,,,,,,,,
Sarbjit,"
Biography, Drama            ",7.2,NA,Omung Kumar,Randeep Hooda,Aishwarya Rai Bachchan,Richa Chadha,Darshan Kumaar,,,,,
,,,,,,,,,,,,,
Cabaret,"
Drama, Musical, Thriller            ",3.5,NA,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Phobia,"
Drama, Mystery, Thriller            ",6.9,NA,Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya,Yashaswini Dayama,,,,,
,,,,,,,,,,,,,
Veerappan,"
Action, Biography, Crime            ",5.2,NA,Ram Gopal Varma,Sachiin Joshi,Sandeep Bharadwaj,Usha Jadhav,Nissar Khan,,,,,
,,,,,,,,,,,,,
Fredrick,"
Action, Thriller            ",5,NA,Rajesh Butalia,Avinash Dhyani,Prashant Narayanan,Tulna Butalia,Anna Ador,,,,,
,,,,,,,,,,,,,
Waiting,"
Short, Drama            ",0,NA,Sanelle Sibanda,Nicole R'Shae Holiday,Myers Clark,Genevieve Fekson,David Kline,,,,,
,,,,,,,,,,,,,
Housefull 3,"
Action, Comedy            ",5.1,$1.16M,Sajid,Farhad Samji,Akshay Kumar,Abhishek Bachchan,Riteish Deshmukh,,,,,
,,,,,,,,,,,,,
Do Lafzon Ki Kahani,"
Action, Drama, Romance            ",6.4,NA,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda,Snehal Kulshreshtha,,,,,
,,,,,,,,,,,,,
Te3n,"
Drama, Mystery, Thriller            ",7.3,$0.26M,Ribhu Dasgupta,Amitabh Bachchan,Nawazuddin Siddiqui,Vidya Balan,Mukesh Chhabra,,,,,
,,,,,,,,,,,,,
Udta Punjab,"
Action, Crime, Drama            ",7.8,NA,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,,,,,
,,,,,,,,,,,,,
Luv U Alia,"
Family, Romance            ",5.3,NA,Indrajit Lankesh,V. Ravichandran,Chandan Kumar,Sudeep,P. Ravi Shankar,,,,,
,,,,,,,,,,,,,
Dil Toh Deewana Hai,"
Drama, Romance            ",7.1,NA,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj,Raja Bundela,,,,,
,,,,,,,,,,,,,
Raman Raghav 2.0,"
Crime, Drama, Thriller            ",7.3,NA,Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,Mukesh Chhabra,,,,,
,,,,,,,,,,,,,
Junooniyat,"
Drama, Romance            ",4.2,NA,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,Gulshan Devaiah,Hrishitaa Bhatt,,,,,
,,,,,,,,,,,,,
Shorgul,"
Drama            ",5.7,NA,Pranav Singh,Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana,Rahul Chahan,,,,,
,,,,,,,,,,,,,
Sultan,"
Action, Drama, Sport            ",7,$6.20M,Ali Abbas Zafar,Salman Khan,Anushka Sharma,Kubbra Sait,Marko Zaror,,,,,
,,,,,,,,,,,,,
Great Grand Masti,"
Comedy, Drama, Fantasy            ",3.6,NA,Indra Kumar,Urvashi Rautela,Riteish Deshmukh,Vivek Oberoi,Aftab Shivdasani,,,,,
,,,,,,,,,,,,,
Madaari,"
Adventure, Drama, Thriller            ",7.5,NA,Nishikant Kamat,Irrfan Khan,Jimmy Sheirgill,Vishesh Bansal,Tushar Dalvi,,,,,
,,,,,,,,,,,,,
Fever,"
Crime, Mystery            ",4.7,NA,Rajeev Jhaveri,Rajeev Khandelwal,Gauhar Khan,Gemma Atkinson,Ankita Makwana,,,,,
,,,,,,,,,,,,,
Dishoom,"
Action, Adventure, Comedy            ",5.1,$0.44M,Rohit Dhawan,John Abraham,Varun Dhawan,Nargis Fakhri,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
Non Sense,"
Short, Horror            ",0,NA,Johnny Jouz,,,,,,,,,
,,,,,,,,,,,,,
The Legend of Michael Mishra,"
Comedy, Drama            ",4.4,NA,Manish Jha,Aditi Rao Hydari,Boman Irani,Arshad Warsi,Saloni Batra,,,,,
,,,,,,,,,,,,,
Mohenjo Daro,"
Action, Adventure, Drama            ",5.7,$1.25M,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi,Arunoday Singh,,,,,
,,,,,,,,,,,,,
Rustom,"
Crime, Drama, Thriller            ",7.1,$1.09M,Dharmendra Suresh Desai,Akshay Kumar,Manoj Bajpayee,Hiten Patel,Ileana D'Cruz,,,,,
,,,,,,,,,,,,,
San' 75 (Pachattar),"
Thriller            ",NA,NA,Navneet Behal,Pravessh Rana,Kay Kay Menon,Kirti Kulhari,Tom Alter,,,,,
,,,,,,,,,,,,,
Happy Bhag Jayegi,"
Comedy, Romance            ",6.4,$0.35M,Mudassar Aziz,Diana Penty,Abhay Deol,Jimmy Sheirgill,Ali Fazal,,,,,
,,,,,,,,,,,,,
Warrior Savitri,"
Action, Thriller            ",5,NA,Param Gill,Niharica Raizada,Rajat Barmecha,Lucy Pinder,Tim Man,,,,,
,,,,,,,,,,,,,
A Flying Jatt,"
Action, Adventure, Comedy            ",3.2,NA,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,Kay Kay Menon,,,,,
,,,,,,,,,,,,,
Akira,"
Action, Thriller            ",5.9,$0.21M,A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma,Nandu Madhav,,,,,
,,,,,,,,,,,,,
Island City,"
Drama            ",6.8,NA,Ruchika Oberoi,Vinay Pathak,Amruta Subhash,Tannishtha Chatterjee,Chandan Roy Sanyal,,,,,
,,,,,,,,,,,,,
Baar Baar Dekho,"
Comedy, Drama, Romance            ",5.3,$0.61M,Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta,Kirti Adarkar,,,,,
,,,,,,,,,,,,,
Yea Toh Two Much Ho Gayaa,"
Action, Comedy, Drama            ",4.3,NA,Anwer Khan,Jimmy Sheirgill,Pooja Chopra,Arbaaz Khan,Bruna Abdullah,,,,,
,,,,,,,,,,,,,
Freaky Ali,"
Comedy, Sport            ",4.9,NA,Sohail Khan,Nawazuddin Siddiqui,Arbaaz Khan,Amy Jackson,Asif Basra,,,,,
,,,,,,,,,,,,,
Raaz Reboot,"
Horror, Mystery, Romance            ",4.5,NA,Vikram Bhatt,Emraan Hashmi,Kriti Kharbanda,Suzanna Mukherjee,Gaurav Arora,,,,,
,,,,,,,,,,,,,
Pink,"
Drama, Thriller            ",8.2,$1.24M,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,,,,,
,,,,,,,,,,,,,
Banjo,"
Action, Drama, Music            ",5,NA,Ravi Jadhav,Riteish Deshmukh,Nargis Fakhri,Aditya Kumar,Ram Menon,,,,,
,,,,,,,,,,,,,
Days of Tafree,"
Comedy            ",7.4,NA,Krishnadev Yagnik,Yash Soni,Ansh Bagri,Sarabjeet Bindra,Sanchay Goswami,,,,,
,,,,,,,,,,,,,
M.S. Dhoni: The Untold Story,"
Biography, Drama, Sport            ",7.7,$1.78M,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,,,,,
,,,,,,,,,,,,,
Mirzya,"
Action, Adventure, Drama            ",4.6,NA,Rakeysh Omprakash Mehra,Harshvardhan Kapoor,Saiyami Kher,Art Malik,Anuj Choudhry,,,,,
,,,,,,,,,,,,,
MSG the Warrior: Lion Heart,"
Adventure, Fantasy, Sci-Fi            ",6.9,NA,Gurmeet Ram Rahim Singh,Ashok Insan,Bhushan Insan,Charanpreet Insan,Garima Insan,,,,,
,,,,,,,,,,,,,
Tutak Tutak Tutiya,"
Comedy, Horror            ",5.4,NA,A.L. Vijay,RJ Balaji,Tamannaah Bhatia,Prabhu Deva,Karishma Gulati,,,,,
,,,,,,,,,,,,,
Beiimaan Love,"
Drama, Romance, Thriller            ",2.9,NA,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber,Rajeev Verma,,,,,
,,,,,,,,,,,,,
Saat Uchakkey,"
Comedy            ",5.6,NA,Sanjeev Sharma,Manoj Bajpayee,Vijay Raaz,Aditi Sharma,Annu Kapoor,,,,,
,,,,,,,,,,,,,
Fuddu,"
Comedy, Drama            ",5.5,NA,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar,Shalini Arora,,,,,
,,,,,,,,,,,,,
1:13:7 Ek Tera Saath,"
Horror            ",5.8,NA,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Aprajita Mahajan,,,,,
,,,,,,,,,,,,,
31st October,"
Action, Drama, History            ",5.9,NA,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,Arohi Radhakrishnan,,,,,
,,,,,,,,,,,,,
Shivaay,"
Action, Drama, Thriller            ",6.2,NA,Ajay Devgn,Ajay Devgn,Abigail Eames,Erika Kaar,Sayyeshaa Saigal,,,,,
,,,,,,,,,,,,,
Ae Dil Hai Mushkil,"
Drama, Music, Musical            ",5.8,$4.24M,Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma,Fawad Khan,,,,,
,,,,,,,,,,,,,
Anna,"
Biography            ",4.9,NA,Shashank Udapurkar,Shashank Udapurkar,Tanishaa Mukerji,Govind Namdeo,Rajit Kapoor,,,,,
,,,,,,,,,,,,,
Chaar Sahibzaade,"
Animation, History            ",8,NA,Harry Baweja,Om Puri,Harman Baweja,,,,,,,
,,,,,,,,,,,,,
Dongri Ka Raja,"
Action, Drama, Romance            ",3.9,NA,Hadi Abrar,Ronit Roy,Ashmit Patel,Gashmeer Mahajani,Reecha Sinha,,,,,
,,,,,,,,,,,,,
Ishq Junoon: The Heat is On,"
Romance, Thriller            ",4.6,NA,Sanjay Sharma,Divya Singh,Rajbeer Singh,Raj Aryan,Reshad Delawar Khan,,,,,
,,,,,,,,,,,,,
Rock On 2,"
Drama, Music            ",5,NA,Shujaat Saudagar,Farhan Akhtar,Shraddha Kapoor,Arjun Rampal,Purab Kohli,,,,,
,,,,,,,,,,,,,
Tum Bin 2,"
Drama, Romance            ",4.8,NA,Anubhav Sinha,Neha Sharma,Aditya Seal,Aashim Gulati,Mouni Roy,,,,,
,,,,,,,,,,,,,
Force 2,"
Action, Thriller            ",6.2,NA,Abhinay Deo,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin,Adil Hussain,,,,,
,,,,,,,,,,,,,
Moh Maya Money,"
Crime, Drama, Thriller            ",5.7,NA,Munish Bhardwaj,Neha Dhupia,Ranvir Shorey,Devendra Chowhan,Vidushi Mehra,,,,,
,,,,,,,,,,,,,
Dear Zindagi,"
Drama, Romance            ",7.6,$1.40M,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,Priyanka Moodley,,,,,
,,,,,,,,,,,,,
Kahaani 2,"
Mystery, Thriller            ",6.6,$0.28M,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj,Kharaj Mukherjee,,,,,
,,,,,,,,,,,,,
Chalk N Duster,"
Drama            ",6.6,NA,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,Gavie Chahal,,,,,
,,,,,,,,,,,,,
Saala Khadoos,"
Action, Drama, Sport            ",7.6,$0.08M,Sudha Kongara,Madhavan,Nassar,Radha Ravi,Kaali Venkat,,,,,
,,,,,,,,,,,,,
Neerja,"
Biography, Drama, Thriller            ",7.7,$1.54M,Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku,Abrar Zahoor,,,,,
,,,,,,,,,,,,,
Jai Gangaajal,"
Crime, Drama            ",5.7,NA,Prakash Jha,Priyanka Chopra,Prakash Jha,Manav Kaul,Ninad Kamat,,,,,
,,,,,,,,,,,,,
Ki & Ka,"
Comedy, Romance            ",5.8,$0.80M,R. Balki,Amitabh Bachchan,Kareena Kapoor,Arjun Kapoor,Rajit Kapoor,,,,,
,,,,,,,,,,,,,
Love Games,"
Thriller            ",4.3,NA,Vikram Bhatt,Patralekhaa Paul,Tara-Alisha Berry,Gaurav Arora,Hiten Tejwani,,,,,
,,,,,,,,,,,,,
Nil Battey Sannata,"
Drama, Family            ",8.4,NA,Ashwiny Iyer Tiwari,Swara Bhaskar,Ratna Pathak Shah,Riya Shukla,Pankaj Tripathi,,,,,
,,,,,,,,,,,,,
One Night Stand,"
Drama, Romance            ",3.1,NA,Jasmine D'Souza,Tanuj Virwani,Sunny Leone,Narendra Jetley,Aamir Ahmed,,,,,
,,,,,,,,,,,,,
Sarbjit,"
Biography, Drama            ",7.2,NA,Omung Kumar,Randeep Hooda,Aishwarya Rai Bachchan,Richa Chadha,Darshan Kumaar,,,,,
,,,,,,,,,,,,,
Phobia,"
Drama, Mystery, Thriller            ",6.9,NA,Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya,Yashaswini Dayama,,,,,
,,,,,,,,,,,,,
Udta Punjab,"
Action, Crime, Drama            ",7.8,NA,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,,,,,
,,,,,,,,,,,,,
Happy Bhag Jayegi,"
Comedy, Romance            ",6.4,$0.35M,Mudassar Aziz,Diana Penty,Abhay Deol,Jimmy Sheirgill,Ali Fazal,,,,,
,,,,,,,,,,,,,
Akira,"
Action, Thriller            ",5.9,$0.21M,A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma,Nandu Madhav,,,,,
,,,,,,,,,,,,,
Pink,"
Drama, Thriller            ",8.2,$1.24M,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,,,,,
,,,,,,,,,,,,,
Raaz Reboot,"
Horror, Mystery, Romance            ",4.5,NA,Vikram Bhatt,Emraan Hashmi,Kriti Kharbanda,Suzanna Mukherjee,Gaurav Arora,,,,,
,,,,,,,,,,,,,
Beiimaan Love,"
Drama, Romance, Thriller            ",2.9,NA,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber,Rajeev Verma,,,,,
,,,,,,,,,,,,,
Kahaani 2,"
Mystery, Thriller            ",6.6,$0.28M,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj,Kharaj Mukherjee,,,,,
,,,,,,,,,,,,,
Dear Zindagi,"
Drama, Romance            ",7.6,$1.40M,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,Priyanka Moodley,,,,,
,,,,,,,,,,,,,
Dangal,"
Action, Biography, Drama            ",8.4,$12.39M,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,,,,,
,,,,,,,,,,,,,
Sanam Teri Kasam,"
Drama, Musical, Romance            ",7.3,$0.02M,Radhika Rao,Vinay Sapru,Harshvardhan Rane,Mawra Hocane,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Baar Baar Dekho,"
Comedy, Drama, Romance            ",5.3,$0.61M,Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta,Kirti Adarkar,,,,,
,,,,,,,,,,,,,
Sanam Re,"
Drama, Romance            ",3.1,NA,Divya Khosla Kumar,Rishi Kapoor,Pulkit Samrat,Yami Gautam,Urvashi Rautela,,,,,
,,,,,,,,,,,,,
Bahubali: The Beginning,"
Action, Drama            ",8.1,$6.74M,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,,,,,
,,,,,,,,,,,,,
Brothers,"
Action, Drama, Sport            ",6.5,$0.27M,Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
Tamasha,"
Comedy, Drama, Romance            ",7.2,$1.98M,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Piyush Mishra,Javed Sheikh,,,,,
,,,,,,,,,,,,,
Shaandaar,"
Comedy, Drama, Romance            ",3.6,$0.43M,Vikas Bahl,Shahid Kapoor,Alia Bhatt,Pankaj Kapur,Sanjay Kapoor,,,,,
,,,,,,,,,,,,,
Dilwale,"
Action, Comedy, Romance            ",5.2,$4.83M,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,Kriti Sanon,,,,,
,,,,,,,,,,,,,
Bajirao Mastani,"
Action, Drama, History            ",7.2,$6.56M,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra,Tanvi Azmi,,,,,
,,,,,,,,,,,,,
Dil Dhadakne Do,"
Comedy, Drama, Romance            ",6.8,NA,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra,Ranveer Singh,,,,,
,,,,,,,,,,,,,
Hamari Adhuri Kahani,"
Drama, Romance            ",6.7,$0.24M,Mohit Suri,Emraan Hashmi,Rajkummar Rao,Vidya Balan,Anil George,,,,,
,,,,,,,,,,,,,
Any Body Can Dance 2,"
Biography, Drama, Music            ",5.5,NA,Remo D'Souza,Prabhu Deva,Varun Dhawan,Shraddha Kapoor,Lauren Gottlieb,,,,,
,,,,,,,,,,,,,
Calendar Girls,"
Drama            ",4.2,NA,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt,Ruhi Singh,,,,,
,,,,,,,,,,,,,
Barkhaa,"
Drama, Romance            ",5.1,NA,Shadaab Mirza,Sara Loren,Priyanshu Chatterjee,Taaha Shah Badusha,Puneet Issar,,,,,
,,,,,,,,,,,,,
